"","distance","i","spectrumID"
"1",21.9461306016904,66,"spec-7160-56599-0448.fits"
"2",22.1059406904546,71,"spec-7160-56599-0035.fits"
"3",22.262033845593,13,"spec-7160-56599-0608.fits"
"4",22.3088432296542,213,"spec-7160-56599-0041.fits"
"5",22.554713440739,13,"spec-7160-56599-0784.fits"
"6",22.6291307025237,12,"spec-7160-56599-0520.fits"
"7",22.7015631631468,67,"spec-7160-56599-0102.fits"
"8",22.7616130698949,273,"spec-7160-56599-0284.fits"
"9",22.7964374760405,451,"spec-7160-56599-0150.fits"
"10",22.9238339157973,71,"spec-7160-56599-0408.fits"
"11",23.2616048926551,215,"spec-7160-56599-0112.fits"
"12",23.3581948499415,159,"spec-7160-56599-0501.fits"
"13",23.5852559994353,210,"spec-7160-56599-0122.fits"
"14",23.8920855094477,69,"spec-7160-56599-0209.fits"
"15",23.9508682012743,15,"spec-7160-56599-0930.fits"
"16",24.2662324329848,9,"spec-7160-56599-0834.fits"
"17",24.2963927366606,163,"spec-7160-56599-0948.fits"
"18",24.3364659797891,563,"spec-7160-56599-0552.fits"
"19",24.3908294370263,13,"spec-7160-56599-0962.fits"
"20",24.4350120905447,216,"spec-7160-56599-0286.fits"
"21",24.5251283625724,16,"spec-7160-56599-0636.fits"
"22",24.5264714498583,16,"spec-7160-56599-0892.fits"
"23",24.5598748117482,2399,"spec-7160-56599-0022.fits"
"24",24.6738887392352,299,"spec-7160-56599-0322.fits"
"25",24.6865356622065,934,"spec-7160-56599-0307.fits"
"26",24.7559625538382,13,"spec-7160-56599-0650.fits"
"27",24.7568573227324,864,"spec-7160-56599-0264.fits"
"28",24.7571883136807,8,"spec-7160-56599-0917.fits"
"29",24.7671960652855,12,"spec-7160-56599-0952.fits"
"30",24.7774317545168,602,"spec-7160-56599-0488.fits"
"31",24.8764386860191,14,"spec-7160-56599-0686.fits"
"32",24.9099403811835,15,"spec-7160-56599-0842.fits"
"33",24.9252127354906,612,"spec-7160-56599-0414.fits"
"34",25.0722280793135,70,"spec-7160-56599-0040.fits"
"35",25.1440731585532,106,"spec-7160-56599-0085.fits"
"36",25.1666516248556,1078,"spec-7160-56599-0610.fits"
"37",25.1801253707983,164,"spec-7160-56599-0542.fits"
"38",25.2234583567052,70,"spec-7160-56599-0180.fits"
"39",25.2733146704388,9,"spec-7160-56599-0600.fits"
"40",25.2785109097611,235,"spec-7160-56599-0316.fits"
"41",25.4047326505391,706,"spec-7160-56599-0027.fits"
"42",25.4827706630486,15,"spec-7160-56599-0702.fits"
"43",25.5754195813831,1167,"spec-7160-56599-0374.fits"
"44",25.6261140102625,1417,"spec-7160-56599-0410.fits"
"45",25.6303933293946,279,"spec-7160-56599-0742.fits"
"46",25.6967298256726,11,"spec-7160-56599-0671.fits"
"47",25.7131887905943,806,"spec-7160-56599-0198.fits"
"48",25.7213393612115,381,"spec-7160-56599-0292.fits"
"49",25.7314600671451,182,"spec-7160-56599-0068.fits"
"50",25.7506687215353,19,"spec-7160-56599-0534.fits"
"51",25.7510592956149,2,"spec-7160-56599-0327.fits"
"52",25.8067244990614,782,"spec-7160-56599-0046.fits"
"53",25.8167294580831,614,"spec-7160-56599-0820.fits"
"54",25.835442495824,69,"spec-7160-56599-0126.fits"
"55",25.8368091676624,1065,"spec-7160-56599-0968.fits"
"56",25.8551378788499,511,"spec-7160-56599-0358.fits"
"57",25.8772006005374,157,"spec-7160-56599-0896.fits"
"58",25.8932657432128,433,"spec-7160-56599-0400.fits"
"59",25.9131548059014,281,"spec-7160-56599-0436.fits"
"60",25.9160274525571,225,"spec-7160-56599-0409.fits"
"61",25.9400183636541,1,"spec-7160-56599-0474.fits"
"62",25.9685494472904,690,"spec-7160-56599-0234.fits"
"63",25.981846745702,60,"spec-7160-56599-0524.fits"
"64",25.9949670380326,15,"spec-7160-56599-0679.fits"
"65",26.033638365451,1,"spec-7160-56599-0391.fits"
"66",26.0364319472705,63,"spec-7160-56599-0200.fits"
"67",26.0452203371084,939,"spec-7160-56599-0378.fits"
"68",26.064192744314,506,"spec-7160-56599-0020.fits"
"69",26.0677820932194,2218,"spec-7160-56599-0340.fits"
"70",26.0687480888686,633,"spec-7160-56599-0502.fits"
"71",26.0768976610302,473,"spec-7160-56599-0268.fits"
"72",26.0771038640724,252,"spec-7160-56599-0514.fits"
"73",26.0805948086612,395,"spec-7160-56599-0710.fits"
"74",26.0970590014719,169,"spec-7160-56599-0898.fits"
"75",26.1022015499774,486,"spec-7160-56599-0338.fits"
"76",26.1065612188876,47,"spec-7160-56599-0335.fits"
"77",26.1531238279418,278,"spec-7160-56599-0960.fits"
"78",26.215184139589,69,"spec-7160-56599-0065.fits"
"79",26.2473460175178,492,"spec-7160-56599-0182.fits"
"80",26.2513660005884,1189,"spec-7160-56599-0088.fits"
"81",26.2547851061133,1412,"spec-7160-56599-0498.fits"
"82",26.2739165954775,16,"spec-7160-56599-0480.fits"
"83",26.2816406842603,66,"spec-7160-56599-0266.fits"
"84",26.2848513727334,1081,"spec-7160-56599-0145.fits"
"85",26.2974652221861,2027,"spec-7160-56599-0909.fits"
"86",26.3204173814082,149,"spec-7160-56599-0320.fits"
"87",26.3662611002194,485,"spec-7160-56599-0718.fits"
"88",26.4056446815296,1419,"spec-7160-56599-0506.fits"
"89",26.4144125312927,486,"spec-7160-56599-0747.fits"
"90",26.4220760554834,13,"spec-7160-56599-0558.fits"
"91",26.451231170615,546,"spec-7160-56599-0388.fits"
"92",26.4518393544538,243,"spec-7160-56599-0478.fits"
"93",26.459625192734,371,"spec-7160-56599-0748.fits"
"94",26.4635030375965,296,"spec-7160-56599-0282.fits"
"95",26.4708404057656,707,"spec-7160-56599-0703.fits"
"96",26.4824944660882,606,"spec-7160-56599-0575.fits"
"97",26.4857042561944,2335,"spec-7160-56599-0567.fits"
"98",26.4861162111949,427,"spec-7160-56599-0189.fits"
"99",26.4999892467547,158,"spec-7160-56599-0574.fits"
"100",26.5270241706332,156,"spec-7160-56599-0522.fits"
