"","distance","i","spectrumID"
"1",22.1963838110034,69,"spec-3969-55307-0011.fits"
"2",22.2250372953838,64,"spec-3969-55307-0250.fits"
"3",22.2616140070311,1742,"spec-3969-55307-0674.fits"
"4",22.3338658671846,209,"spec-3969-55307-0444.fits"
"5",22.4087837081809,41,"spec-3969-55307-0600.fits"
"6",22.7701909208416,41,"spec-3969-55307-0708.fits"
"7",22.9835102756036,63,"spec-3969-55307-0476.fits"
"8",23.0532998210704,60,"spec-3969-55307-0366.fits"
"9",23.1176885495898,67,"spec-3969-55307-0010.fits"
"10",23.2636608403893,41,"spec-3969-55307-0794.fits"
"11",23.4163685895617,34,"spec-3969-55307-0978.fits"
"12",23.5070284466447,311,"spec-3969-55307-0860.fits"
"13",23.6476435621362,62,"spec-3969-55307-0098.fits"
"14",23.6883776832411,209,"spec-3969-55307-0162.fits"
"15",23.7196123543306,1354,"spec-3969-55307-0718.fits"
"16",23.7242336723259,38,"spec-3969-55307-0550.fits"
"17",23.9149313829174,63,"spec-3969-55307-0146.fits"
"18",24.0315345636253,206,"spec-3969-55307-0472.fits"
"19",24.092598577026,1744,"spec-3969-55307-0928.fits"
"20",24.0987732651307,66,"spec-3969-55307-0416.fits"
"21",24.4350690527051,37,"spec-3969-55307-0514.fits"
"22",24.4606208795423,1879,"spec-3969-55307-0326.fits"
"23",24.4952378556373,37,"spec-3969-55307-0901.fits"
"24",24.866294401844,1969,"spec-3969-55307-0474.fits"
"25",25.0234806846897,1837,"spec-3969-55307-0288.fits"
"26",25.0288052842184,1615,"spec-3969-55307-0206.fits"
"27",25.120812044399,790,"spec-3969-55307-0398.fits"
"28",25.2625436121664,1946,"spec-3969-55307-0740.fits"
"29",25.292614683451,41,"spec-3969-55307-0605.fits"
"30",25.3148276915941,977,"spec-3969-55307-0644.fits"
"31",25.392516923634,2163,"spec-3969-55307-0643.fits"
"32",25.434119089017,224,"spec-3969-55307-0480.fits"
"33",25.4397319338833,188,"spec-3969-55307-0488.fits"
"34",25.5661586202362,1041,"spec-3969-55307-0642.fits"
"35",25.5968533433183,1860,"spec-3969-55307-0556.fits"
"36",25.6076320596834,535,"spec-3969-55307-0666.fits"
"37",25.6219298285587,64,"spec-3969-55307-0240.fits"
"38",25.6241878128151,263,"spec-3969-55307-0050.fits"
"39",25.6358649705929,107,"spec-3969-55307-0458.fits"
"40",25.7019622229713,1929,"spec-3969-55307-0720.fits"
"41",25.7026112702522,735,"spec-3969-55307-0214.fits"
"42",25.7254866845263,709,"spec-3969-55307-0634.fits"
"43",25.7531492672722,958,"spec-3969-55307-0610.fits"
"44",25.7868493432054,88,"spec-3969-55307-0802.fits"
"45",25.8345820839694,703,"spec-3969-55307-0134.fits"
"46",25.877962462268,41,"spec-3969-55307-0736.fits"
"47",25.9028294255607,203,"spec-3969-55307-0586.fits"
"48",25.9506281516007,1276,"spec-3969-55307-0563.fits"
"49",25.9576301812745,300,"spec-3969-55307-0048.fits"
"50",26.0140814383856,651,"spec-3969-55307-0812.fits"
"51",26.0341870051116,258,"spec-3969-55307-0922.fits"
"52",26.0347068357545,260,"spec-3969-55307-0042.fits"
"53",26.0860740755313,2300,"spec-3969-55307-0724.fits"
"54",26.1014320368578,148,"spec-3969-55307-0750.fits"
"55",26.1437814162193,1979,"spec-3969-55307-0872.fits"
"56",26.1649459248757,179,"spec-3969-55307-0668.fits"
"57",26.1720152241142,118,"spec-3969-55307-0692.fits"
"58",26.1731966181926,61,"spec-3969-55307-0442.fits"
"59",26.1836591028926,263,"spec-3969-55307-0290.fits"
"60",26.2184522335299,6,"spec-3969-55307-0820.fits"
"61",26.2252228947849,2130,"spec-3969-55307-0441.fits"
"62",26.2351280523872,283,"spec-3969-55307-0054.fits"
"63",26.2424944635228,1555,"spec-3969-55307-0068.fits"
"64",26.258718399932,64,"spec-3969-55307-0220.fits"
"65",26.2630551935533,296,"spec-3969-55307-0913.fits"
"66",26.265380529843,43,"spec-3969-55307-0923.fits"
"67",26.2769679240126,1846,"spec-3969-55307-0188.fits"
"68",26.2782417441508,905,"spec-3969-55307-0428.fits"
"69",26.2814367949551,378,"spec-3969-55307-0552.fits"
"70",26.2895913490655,163,"spec-3969-55307-0990.fits"
"71",26.3396412751583,1369,"spec-3969-55307-0568.fits"
"72",26.3569143623193,627,"spec-3969-55307-0992.fits"
"73",26.3605090485637,185,"spec-3969-55307-0396.fits"
"74",26.3882625889465,63,"spec-3969-55307-0982.fits"
"75",26.3926752744034,56,"spec-3969-55307-0184.fits"
"76",26.4113974674734,1909,"spec-3969-55307-0828.fits"
"77",26.4171824803062,279,"spec-3969-55307-0112.fits"
"78",26.4550645121403,365,"spec-3969-55307-0920.fits"
"79",26.474579224229,1718,"spec-3969-55307-0576.fits"
"80",26.501174055802,567,"spec-3969-55307-0706.fits"
"81",26.5051244757587,65,"spec-3969-55307-0003.fits"
"82",26.5162898678854,191,"spec-3969-55307-0832.fits"
"83",26.5410721304405,40,"spec-3969-55307-0338.fits"
"84",26.554757362242,595,"spec-3969-55307-0927.fits"
"85",26.5575752121575,256,"spec-3969-55307-0430.fits"
"86",26.5666816486768,36,"spec-3969-55307-0580.fits"
"87",26.5793718359431,1979,"spec-3969-55307-0868.fits"
"88",26.5874480779943,111,"spec-3969-55307-0498.fits"
"89",26.6016796298837,2111,"spec-3969-55307-0437.fits"
"90",26.6025262172179,1496,"spec-3969-55307-0701.fits"
"91",26.6098442858309,1190,"spec-3969-55307-0176.fits"
"92",26.6163066644793,1771,"spec-3969-55307-0360.fits"
"93",26.6204516176438,1585,"spec-3969-55307-0748.fits"
"94",26.6282776848036,52,"spec-3969-55307-0410.fits"
"95",26.6357191182552,1609,"spec-3969-55307-0296.fits"
"96",26.6482878800671,61,"spec-3969-55307-0938.fits"
"97",26.6490603310796,227,"spec-3969-55307-0918.fits"
"98",26.6665296389419,1022,"spec-3969-55307-0788.fits"
"99",26.6680931601461,234,"spec-3969-55307-0752.fits"
"100",26.6911533801308,127,"spec-3969-55307-0878.fits"
